timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768040085093,232,1. GET Login Page,200,OK,Thread Group 1-1,text,true,,3780,140,2,2,http://localhost:8080/web/index.php/auth/login,231,0,23
1768040085225,99,1. GET Login Page,200,OK,Thread Group 1-2,text,true,,3759,140,2,2,http://localhost:8080/web/index.php/auth/login,98,0,1
1768040085368,86,2. POST Login,200,OK,Thread Group 1-2,text,true,,4522,534,3,3,http://localhost:8080/web/index.php/auth/login,48,0,2
1768040085368,49,2. POST Login-0,302,Found,Thread Group 1-2,text,true,,698,347,3,3,http://localhost:8080/web/index.php/auth/validate,48,0,2
1768040085417,37,2. POST Login-1,200,OK,Thread Group 1-2,text,true,,3824,187,3,3,http://localhost:8080/web/index.php/auth/login,36,0,1
1768040085426,37,1. GET Login Page,200,OK,Thread Group 1-3,text,true,,3768,140,3,3,http://localhost:8080/web/index.php/auth/login,37,0,0
1768040085368,109,2. POST Login,200,OK,Thread Group 1-1,text,true,,4525,534,3,3,http://localhost:8080/web/index.php/auth/login,48,0,2
1768040085368,49,2. POST Login-0,302,Found,Thread Group 1-1,text,true,,698,347,3,3,http://localhost:8080/web/index.php/auth/validate,48,0,2
1768040085417,60,2. POST Login-1,200,OK,Thread Group 1-1,text,true,,3827,187,3,3,http://localhost:8080/web/index.php/auth/login,60,0,1
1768040085456,74,3. View My Leave,200,OK,Thread Group 1-2,text,true,,4392,385,3,3,http://localhost:8080/web/index.php/auth/login,38,0,0
1768040085456,38,3. View My Leave-0,302,Found,Thread Group 1-2,text,true,,698,198,3,3,http://localhost:8080/web/index.php/leave/viewMyLeaveList,38,0,0
1768040085495,35,3. View My Leave-1,200,OK,Thread Group 1-2,text,true,,3694,187,3,3,http://localhost:8080/web/index.php/auth/login,35,0,0
1768040085465,67,2. POST Login,200,OK,Thread Group 1-3,text,true,,4505,535,2,2,http://localhost:8080/web/index.php/auth/login,31,0,1
1768040085465,31,2. POST Login-0,302,Found,Thread Group 1-3,text,true,,698,348,2,2,http://localhost:8080/web/index.php/auth/validate,31,0,1
1768040085496,36,2. POST Login-1,200,OK,Thread Group 1-3,text,true,,3807,187,2,2,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040085478,69,3. View My Leave,200,OK,Thread Group 1-1,text,true,,4386,385,2,2,http://localhost:8080/web/index.php/auth/login,30,0,1
1768040085478,30,3. View My Leave-0,302,Found,Thread Group 1-1,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,30,0,1
1768040085509,38,3. View My Leave-1,200,OK,Thread Group 1-1,text,true,,3688,187,2,2,http://localhost:8080/web/index.php/auth/login,38,0,0
1768040085533,67,3. View My Leave,200,OK,Thread Group 1-3,text,true,,4380,385,1,1,http://localhost:8080/web/index.php/auth/login,31,0,1
1768040085533,31,3. View My Leave-0,302,Found,Thread Group 1-3,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,31,0,1
1768040085564,36,3. View My Leave-1,200,OK,Thread Group 1-3,text,true,,3682,187,1,1,http://localhost:8080/web/index.php/auth/login,36,0,1
1768040085625,38,1. GET Login Page,200,OK,Thread Group 1-4,text,true,,3770,140,1,1,http://localhost:8080/web/index.php/auth/login,38,0,0
1768040085665,68,2. POST Login,200,OK,Thread Group 1-4,text,true,,4530,531,1,1,http://localhost:8080/web/index.php/auth/login,31,0,1
1768040085665,32,2. POST Login-0,302,Found,Thread Group 1-4,text,true,,698,344,1,1,http://localhost:8080/web/index.php/auth/validate,31,0,1
1768040085697,36,2. POST Login-1,200,OK,Thread Group 1-4,text,true,,3832,187,1,1,http://localhost:8080/web/index.php/auth/login,36,0,0
1768040085734,64,3. View My Leave,200,OK,Thread Group 1-4,text,true,,4389,385,1,1,http://localhost:8080/web/index.php/auth/login,27,0,1
1768040085734,27,3. View My Leave-0,302,Found,Thread Group 1-4,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,1
1768040085762,36,3. View My Leave-1,200,OK,Thread Group 1-4,text,true,,3691,187,1,1,http://localhost:8080/web/index.php/auth/login,36,0,0
1768040085826,34,1. GET Login Page,200,OK,Thread Group 1-5,text,true,,3771,140,1,1,http://localhost:8080/web/index.php/auth/login,34,0,1
1768040085862,62,2. POST Login,200,OK,Thread Group 1-5,text,true,,4509,535,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040085862,28,2. POST Login-0,302,Found,Thread Group 1-5,text,true,,698,348,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768040085890,34,2. POST Login-1,200,OK,Thread Group 1-5,text,true,,3811,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,1
1768040085924,67,3. View My Leave,200,OK,Thread Group 1-5,text,true,,4384,385,1,1,http://localhost:8080/web/index.php/auth/login,27,0,1
1768040085924,27,3. View My Leave-0,302,Found,Thread Group 1-5,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,1
1768040085952,39,3. View My Leave-1,200,OK,Thread Group 1-5,text,true,,3686,187,1,1,http://localhost:8080/web/index.php/auth/login,39,0,0
1768040086025,34,1. GET Login Page,200,OK,Thread Group 1-6,text,true,,3768,140,1,1,http://localhost:8080/web/index.php/auth/login,34,0,0
1768040086061,65,2. POST Login,200,OK,Thread Group 1-6,text,true,,4510,533,1,1,http://localhost:8080/web/index.php/auth/login,30,0,1
1768040086061,30,2. POST Login-0,302,Found,Thread Group 1-6,text,true,,698,346,1,1,http://localhost:8080/web/index.php/auth/validate,30,0,1
1768040086091,35,2. POST Login-1,200,OK,Thread Group 1-6,text,true,,3812,187,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040086126,64,3. View My Leave,200,OK,Thread Group 1-6,text,true,,4386,385,1,1,http://localhost:8080/web/index.php/auth/login,29,0,1
1768040086126,29,3. View My Leave-0,302,Found,Thread Group 1-6,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,29,0,1
1768040086155,35,3. View My Leave-1,200,OK,Thread Group 1-6,text,true,,3688,187,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040086223,33,1. GET Login Page,200,OK,Thread Group 1-7,text,true,,3760,140,1,1,http://localhost:8080/web/index.php/auth/login,33,0,0
1768040086258,65,2. POST Login,200,OK,Thread Group 1-7,text,true,,4510,529,1,1,http://localhost:8080/web/index.php/auth/login,30,0,1
1768040086258,30,2. POST Login-0,302,Found,Thread Group 1-7,text,true,,698,342,1,1,http://localhost:8080/web/index.php/auth/validate,30,0,1
1768040086289,34,2. POST Login-1,200,OK,Thread Group 1-7,text,true,,3812,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,0
1768040086324,62,3. View My Leave,200,OK,Thread Group 1-7,text,true,,4394,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,0
1768040086324,28,3. View My Leave-0,302,Found,Thread Group 1-7,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,0
1768040086352,34,3. View My Leave-1,200,OK,Thread Group 1-7,text,true,,3696,187,1,1,http://localhost:8080/web/index.php/auth/login,34,0,1
1768040086423,36,1. GET Login Page,200,OK,Thread Group 1-8,text,true,,3761,140,1,1,http://localhost:8080/web/index.php/auth/login,36,0,0
1768040086460,63,2. POST Login,200,OK,Thread Group 1-8,text,true,,4528,532,1,1,http://localhost:8080/web/index.php/auth/login,29,0,1
1768040086460,29,2. POST Login-0,302,Found,Thread Group 1-8,text,true,,698,345,1,1,http://localhost:8080/web/index.php/auth/validate,29,0,1
1768040086489,34,2. POST Login-1,200,OK,Thread Group 1-8,text,true,,3830,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,1
1768040086524,67,3. View My Leave,200,OK,Thread Group 1-8,text,true,,4372,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,0
1768040086524,28,3. View My Leave-0,302,Found,Thread Group 1-8,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,0
1768040086553,38,3. View My Leave-1,200,OK,Thread Group 1-8,text,true,,3674,187,1,1,http://localhost:8080/web/index.php/auth/login,37,0,0
1768040086623,35,1. GET Login Page,200,OK,Thread Group 1-9,text,true,,3782,140,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040086660,67,2. POST Login,200,OK,Thread Group 1-9,text,true,,4506,536,1,1,http://localhost:8080/web/index.php/auth/login,31,0,0
1768040086660,31,2. POST Login-0,302,Found,Thread Group 1-9,text,true,,698,349,1,1,http://localhost:8080/web/index.php/auth/validate,31,0,0
1768040086691,36,2. POST Login-1,200,OK,Thread Group 1-9,text,true,,3808,187,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040086727,64,3. View My Leave,200,OK,Thread Group 1-9,text,true,,4402,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040086727,28,3. View My Leave-0,302,Found,Thread Group 1-9,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,1
1768040086756,35,3. View My Leave-1,200,OK,Thread Group 1-9,text,true,,3704,187,1,1,http://localhost:8080/web/index.php/auth/login,35,0,0
1768040086823,35,1. GET Login Page,200,OK,Thread Group 1-10,text,true,,3771,140,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040086860,72,2. POST Login,200,OK,Thread Group 1-10,text,true,,4532,532,1,1,http://localhost:8080/web/index.php/auth/login,37,0,0
1768040086860,37,2. POST Login-0,302,Found,Thread Group 1-10,text,true,,698,345,1,1,http://localhost:8080/web/index.php/auth/validate,37,0,0
1768040086898,34,2. POST Login-1,200,OK,Thread Group 1-10,text,true,,3834,187,1,1,http://localhost:8080/web/index.php/auth/login,34,0,0
1768040086933,65,3. View My Leave,200,OK,Thread Group 1-10,text,true,,4397,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,0
1768040086933,28,3. View My Leave-0,302,Found,Thread Group 1-10,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,0
1768040086961,37,3. View My Leave-1,200,OK,Thread Group 1-10,text,true,,3699,187,1,1,http://localhost:8080/web/index.php/auth/login,36,0,1
1768040087021,41,1. GET Login Page,200,OK,Thread Group 1-11,text,true,,3786,140,1,1,http://localhost:8080/web/index.php/auth/login,40,0,1
1768040087063,66,2. POST Login,200,OK,Thread Group 1-11,text,true,,4534,534,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040087063,28,2. POST Login-0,302,Found,Thread Group 1-11,text,true,,698,347,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768040087092,37,2. POST Login-1,200,OK,Thread Group 1-11,text,true,,3836,187,1,1,http://localhost:8080/web/index.php/auth/login,36,0,0
1768040087130,63,3. View My Leave,200,OK,Thread Group 1-11,text,true,,4377,385,1,1,http://localhost:8080/web/index.php/auth/login,27,0,1
1768040087130,28,3. View My Leave-0,302,Found,Thread Group 1-11,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,1
1768040087158,35,3. View My Leave-1,200,OK,Thread Group 1-11,text,true,,3679,187,1,1,http://localhost:8080/web/index.php/auth/login,34,0,1
1768040087222,36,1. GET Login Page,200,OK,Thread Group 1-12,text,true,,3764,140,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040087259,62,2. POST Login,200,OK,Thread Group 1-12,text,true,,4512,534,1,1,http://localhost:8080/web/index.php/auth/login,28,0,0
1768040087259,28,2. POST Login-0,302,Found,Thread Group 1-12,text,true,,698,347,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,0
1768040087288,33,2. POST Login-1,200,OK,Thread Group 1-12,text,true,,3814,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,0
1768040087322,64,3. View My Leave,200,OK,Thread Group 1-12,text,true,,4399,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040087322,29,3. View My Leave-0,302,Found,Thread Group 1-12,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,1
1768040087351,35,3. View My Leave-1,200,OK,Thread Group 1-12,text,true,,3701,187,1,1,http://localhost:8080/web/index.php/auth/login,35,0,1
1768040087423,35,1. GET Login Page,200,OK,Thread Group 1-13,text,true,,3783,140,1,1,http://localhost:8080/web/index.php/auth/login,34,0,1
1768040087459,63,2. POST Login,200,OK,Thread Group 1-13,text,true,,4507,529,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040087459,28,2. POST Login-0,302,Found,Thread Group 1-13,text,true,,698,342,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768040087488,34,2. POST Login-1,200,OK,Thread Group 1-13,text,true,,3809,187,1,1,http://localhost:8080/web/index.php/auth/login,34,0,1
1768040087523,63,3. View My Leave,200,OK,Thread Group 1-13,text,true,,4383,385,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040087523,28,3. View My Leave-0,302,Found,Thread Group 1-13,text,true,,698,198,1,1,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,1
1768040087552,34,3. View My Leave-1,200,OK,Thread Group 1-13,text,true,,3685,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,0
1768040087623,36,1. GET Login Page,200,OK,Thread Group 1-14,text,true,,3759,140,1,1,http://localhost:8080/web/index.php/auth/login,36,0,1
1768040087660,63,2. POST Login,200,OK,Thread Group 1-14,text,true,,4509,532,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768040087660,29,2. POST Login-0,302,Found,Thread Group 1-14,text,true,,698,345,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768040087689,34,2. POST Login-1,200,OK,Thread Group 1-14,text,true,,3811,187,1,1,http://localhost:8080/web/index.php/auth/login,33,0,1
1768040087723,62,3. View My Leave,200,OK,Thread Group 1-14,text,true,,4395,385,1,1,http://localhost:8080/web/index.php/auth/login,29,0,1
