timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768076137429,477,1. GET Login Page,200,OK,Thread Group 1-1,text,true,,3790,140,6,6,http://localhost:8080/web/index.php/auth/login,476,0,25
1768076137758,148,1. GET Login Page,200,OK,Thread Group 1-5,text,true,,3789,140,6,6,http://localhost:8080/web/index.php/auth/login,148,0,1
1768076137459,447,1. GET Login Page,200,OK,Thread Group 1-2,text,true,,3761,140,6,6,http://localhost:8080/web/index.php/auth/login,446,0,1
1768076137858,48,1. GET Login Page,200,OK,Thread Group 1-6,text,true,,3767,140,6,6,http://localhost:8080/web/index.php/auth/login,47,0,1
1768076137659,247,1. GET Login Page,200,OK,Thread Group 1-4,text,true,,3766,140,6,6,http://localhost:8080/web/index.php/auth/login,246,0,1
1768076137559,347,1. GET Login Page,200,OK,Thread Group 1-3,text,true,,3776,140,6,6,http://localhost:8080/web/index.php/auth/login,347,0,1
1768076137958,61,1. GET Login Page,200,OK,Thread Group 1-7,text,true,,3766,140,7,7,http://localhost:8080/web/index.php/auth/login,60,0,1
1768076137962,97,2. POST Login,200,OK,Thread Group 1-5,text,true,,4521,535,8,8,http://localhost:8080/web/index.php/auth/login,51,0,4
1768076137962,51,2. POST Login-0,302,Found,Thread Group 1-5,text,true,,698,348,8,8,http://localhost:8080/web/index.php/auth/validate,51,0,4
1768076138014,45,2. POST Login-1,200,OK,Thread Group 1-5,text,true,,3823,187,8,8,http://localhost:8080/web/index.php/auth/login,45,0,0
1768076137962,99,2. POST Login,200,OK,Thread Group 1-1,text,true,,4535,534,8,8,http://localhost:8080/web/index.php/auth/login,42,0,4
1768076137962,43,2. POST Login-0,302,Found,Thread Group 1-1,text,true,,698,347,8,8,http://localhost:8080/web/index.php/auth/validate,42,0,4
1768076138006,55,2. POST Login-1,200,OK,Thread Group 1-1,text,true,,3837,187,8,8,http://localhost:8080/web/index.php/auth/login,55,0,0
1768076137962,99,2. POST Login,200,OK,Thread Group 1-4,text,true,,4530,531,8,8,http://localhost:8080/web/index.php/auth/login,51,0,4
1768076137962,51,2. POST Login-0,302,Found,Thread Group 1-4,text,true,,698,344,8,8,http://localhost:8080/web/index.php/auth/validate,51,0,4
1768076138014,47,2. POST Login-1,200,OK,Thread Group 1-4,text,true,,3832,187,8,8,http://localhost:8080/web/index.php/auth/login,47,0,0
1768076137962,103,2. POST Login,200,OK,Thread Group 1-2,text,true,,4518,534,8,8,http://localhost:8080/web/index.php/auth/login,42,0,4
1768076137962,43,2. POST Login-0,302,Found,Thread Group 1-2,text,true,,698,347,8,8,http://localhost:8080/web/index.php/auth/validate,42,0,4
1768076138006,59,2. POST Login-1,200,OK,Thread Group 1-2,text,true,,3820,187,8,8,http://localhost:8080/web/index.php/auth/login,59,0,0
1768076137962,107,2. POST Login,200,OK,Thread Group 1-6,text,true,,4525,533,8,8,http://localhost:8080/web/index.php/auth/login,52,0,4
1768076137962,53,2. POST Login-0,302,Found,Thread Group 1-6,text,true,,698,346,8,8,http://localhost:8080/web/index.php/auth/validate,52,0,4
1768076138015,54,2. POST Login-1,200,OK,Thread Group 1-6,text,true,,3827,187,8,8,http://localhost:8080/web/index.php/auth/login,54,0,1
