timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768076290676,109,1. GET Login Page,200,OK,Thread Group 1-1,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,109,0,1
1768076290676,109,1. GET Login Page,200,OK,Thread Group 1-8,text,true,,3790,140,100,100,http://localhost:8080/web/index.php/auth/login,109,0,2
1768076290676,109,1. GET Login Page,200,OK,Thread Group 1-5,text,true,,3771,140,100,100,http://localhost:8080/web/index.php/auth/login,109,0,1
1768076290676,110,1. GET Login Page,200,OK,Thread Group 1-2,text,true,,3765,140,100,100,http://localhost:8080/web/index.php/auth/login,110,0,1
1768076290676,114,1. GET Login Page,200,OK,Thread Group 1-10,text,true,,3789,140,100,100,http://localhost:8080/web/index.php/auth/login,113,0,1
1768076290676,115,1. GET Login Page,200,OK,Thread Group 1-9,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,115,0,1
1768076290676,119,1. GET Login Page,200,OK,Thread Group 1-4,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,118,0,1
1768076290683,158,1. GET Login Page,200,OK,Thread Group 1-13,text,true,,3768,140,100,100,http://localhost:8080/web/index.php/auth/login,158,0,0
1768076290678,164,1. GET Login Page,200,OK,Thread Group 1-6,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,163,0,0
1768076290682,162,1. GET Login Page,200,OK,Thread Group 1-12,text,true,,3782,140,100,100,http://localhost:8080/web/index.php/auth/login,162,0,1
1768076290676,169,1. GET Login Page,200,OK,Thread Group 1-3,text,true,,3767,140,100,100,http://localhost:8080/web/index.php/auth/login,169,0,2
1768076290692,155,1. GET Login Page,200,OK,Thread Group 1-55,text,true,,3780,140,100,100,http://localhost:8080/web/index.php/auth/login,154,0,0
1768076290687,166,1. GET Login Page,200,OK,Thread Group 1-14,text,true,,3789,140,100,100,http://localhost:8080/web/index.php/auth/login,166,0,1
1768076290690,165,1. GET Login Page,200,OK,Thread Group 1-18,text,true,,3782,140,100,100,http://localhost:8080/web/index.php/auth/login,164,0,1
1768076290688,197,1. GET Login Page,200,OK,Thread Group 1-11,text,true,,3762,140,100,100,http://localhost:8080/web/index.php/auth/login,197,0,2
1768076290678,212,1. GET Login Page,200,OK,Thread Group 1-7,text,true,,3765,140,100,100,http://localhost:8080/web/index.php/auth/login,211,0,0
1768076290700,191,1. GET Login Page,200,OK,Thread Group 1-58,text,true,,3770,140,100,100,http://localhost:8080/web/index.php/auth/login,191,0,1
1768076290690,206,1. GET Login Page,200,OK,Thread Group 1-54,text,true,,3785,140,100,100,http://localhost:8080/web/index.php/auth/login,206,0,1
1768076290705,191,1. GET Login Page,200,OK,Thread Group 1-95,text,true,,3772,140,100,100,http://localhost:8080/web/index.php/auth/login,191,0,1
1768076290701,202,1. GET Login Page,200,OK,Thread Group 1-24,text,true,,3759,140,100,100,http://localhost:8080/web/index.php/auth/login,201,0,1
1768076290701,202,1. GET Login Page,200,OK,Thread Group 1-21,text,true,,3760,140,100,100,http://localhost:8080/web/index.php/auth/login,201,0,1
1768076290700,234,1. GET Login Page,200,OK,Thread Group 1-97,text,true,,3760,140,100,100,http://localhost:8080/web/index.php/auth/login,233,0,0
1768076290702,234,1. GET Login Page,200,OK,Thread Group 1-26,text,true,,3766,140,100,100,http://localhost:8080/web/index.php/auth/login,233,0,2
1768076290692,244,1. GET Login Page,200,OK,Thread Group 1-19,text,true,,3769,140,100,100,http://localhost:8080/web/index.php/auth/login,244,0,0
1768076290700,246,1. GET Login Page,200,OK,Thread Group 1-99,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,246,0,1
1768076290705,242,1. GET Login Page,200,OK,Thread Group 1-29,text,true,,3780,140,100,100,http://localhost:8080/web/index.php/auth/login,241,0,1
1768076290693,254,1. GET Login Page,200,OK,Thread Group 1-60,text,true,,3767,140,100,100,http://localhost:8080/web/index.php/auth/login,253,0,1
1768076290706,241,1. GET Login Page,200,OK,Thread Group 1-28,text,true,,3769,140,100,100,http://localhost:8080/web/index.php/auth/login,240,0,0
1768076290707,267,1. GET Login Page,200,OK,Thread Group 1-31,text,true,,3779,140,100,100,http://localhost:8080/web/index.php/auth/login,267,0,1
1768076290700,274,1. GET Login Page,200,OK,Thread Group 1-98,text,true,,3779,140,100,100,http://localhost:8080/web/index.php/auth/login,274,0,0
1768076290707,278,1. GET Login Page,200,OK,Thread Group 1-34,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,278,0,1
1768076290711,274,1. GET Login Page,200,OK,Thread Group 1-41,text,true,,3785,140,100,100,http://localhost:8080/web/index.php/auth/login,274,0,0
1768076290707,283,1. GET Login Page,200,OK,Thread Group 1-32,text,true,,3773,140,100,100,http://localhost:8080/web/index.php/auth/login,283,0,1
1768076290705,292,1. GET Login Page,200,OK,Thread Group 1-30,text,true,,3766,140,100,100,http://localhost:8080/web/index.php/auth/login,292,0,1
1768076290707,293,1. GET Login Page,200,OK,Thread Group 1-35,text,true,,3766,140,100,100,http://localhost:8080/web/index.php/auth/login,292,0,1
1768076290709,303,1. GET Login Page,200,OK,Thread Group 1-37,text,true,,3767,140,100,100,http://localhost:8080/web/index.php/auth/login,303,0,0
1768076290709,316,1. GET Login Page,200,OK,Thread Group 1-36,text,true,,3774,140,100,100,http://localhost:8080/web/index.php/auth/login,316,0,0
1768076290709,327,1. GET Login Page,200,OK,Thread Group 1-38,text,true,,3777,140,100,100,http://localhost:8080/web/index.php/auth/login,327,0,1
1768076290714,322,1. GET Login Page,200,OK,Thread Group 1-44,text,true,,3781,140,100,100,http://localhost:8080/web/index.php/auth/login,322,0,1
1768076290707,332,1. GET Login Page,200,OK,Thread Group 1-33,text,true,,3785,140,100,100,http://localhost:8080/web/index.php/auth/login,332,0,1
1768076290711,329,1. GET Login Page,200,OK,Thread Group 1-39,text,true,,3790,140,100,100,http://localhost:8080/web/index.php/auth/login,329,0,0
1768076290713,333,1. GET Login Page,200,OK,Thread Group 1-42,text,true,,3778,140,100,100,http://localhost:8080/web/index.php/auth/login,332,0,1
1768076290713,340,1. GET Login Page,200,OK,Thread Group 1-43,text,true,,3787,140,100,100,http://localhost:8080/web/index.php/auth/login,340,0,1
1768076290717,356,1. GET Login Page,200,OK,Thread Group 1-45,text,true,,3765,140,100,100,http://localhost:8080/web/index.php/auth/login,356,0,0
1768076290711,367,1. GET Login Page,200,OK,Thread Group 1-40,text,true,,3783,140,100,100,http://localhost:8080/web/index.php/auth/login,367,0,0
1768076290724,359,1. GET Login Page,200,OK,Thread Group 1-48,text,true,,3776,140,100,100,http://localhost:8080/web/index.php/auth/login,359,0,1
1768076290717,369,1. GET Login Page,200,OK,Thread Group 1-47,text,true,,3768,140,100,100,http://localhost:8080/web/index.php/auth/login,368,0,0
1768076290724,363,1. GET Login Page,200,OK,Thread Group 1-49,text,true,,3786,140,100,100,http://localhost:8080/web/index.php/auth/login,363,0,1
1768076290720,370,1. GET Login Page,200,OK,Thread Group 1-46,text,true,,3761,140,100,100,http://localhost:8080/web/index.php/auth/login,369,0,0
